loc_name,google_loc_name,loc_external_id,phone,web_site,loc_status,Adresse,addr_extraInfo,CP,addr_locality,description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL,Présence,Nom,Téléphone,Site web,Addresse,CP,Ville,Horaires,%
Columbus Café & Co,Columbus Café & Co Carcassonne,Col0033,01 44 51 60 00,https://www.columbuscafe.com/boutique/carcassonne-6-place-carnot/,OPEN,6 Place Carnot,,11000,Carcassonne,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,Closed,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Carcassonne&stick=H4sIAAAAAAAA_-NgU1I1qDA0Skw1SrFMTElMS0mxTDK2MqhIM7IwNza2MEwysDA2skxNW8Qq75yfU5qbVFqs4JyYdnilgpqCcz6QWZScWFycn5eXCgDq6LyBSwAAAA&hl=fr&mat=CWVjN1UBJTEbElcBEKoLab-3b9Y60C3p7VUN7YOYdM7KbmX4K2-Eb-BNrrxIE-wtYtSD2QIwazF0arle49jHf8UvJ23cwm0_D0_u9WB8yuUNrpFRMIt79mEInyf-0MI9Yj4&authuser=0,1,OK,NOK,OK,OK,OK,OK,OK,86%
Columbus Café & Co,Columbus Café & Co Compiègne,col0059,+33 3 44 93 66 43,https://www.columbuscafe.com/boutique/compiegne-rue-jean-legendre/,OPEN,9 Rue Jean Legendre,,60200,Compiègne,,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,10:00-18:00,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Compi%C3%A8gne&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzVPMTdOTDExTTI1MTW2MqhINDSyNDMzS7QwNUozNTROWcQq55yfU5qbVFqs4JyYdnilgpqCcz4Q5RZkHl6RnpcKAIFJqylKAAAA&hl=fr&mat=CWC-I9C3xdFUElcBEKoLaUdHgZnZuCxxQLLvd32bFHwVAtOGz9g5O7g3OlZqmWCrfaGALYqGJh1wwuk1RZzbOdknxQbPSTCub5rgJgjBGGYha5coquhz71zM1bPLamIp9HE&authuser=0,1,OK,OK,OK,OK,OK,OK,OK,100%
Columbus Café & Co,Columbus Café & Co La Chapelle Saint-Aubin,col0065,,https://www.columbuscafe.com/boutique/la-chapelle-saint-aubin-centre-commercial-auchan-zac-du-moulin-aux-moines/,OPEN, Centre commercial Auchan Route d'Alençon,,72650,La Chapelle-Saint-Aubin,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,Closed,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+La+Chapelle+Saint-Aubin&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzWysEy0NDU3MTM1T7O0MqgwNElLsjQ0Tku2tEwzTU5NXMSq7ZyfU5qbVFqs4JyYdnilgpqCc76CT6KCc0ZiQWpOTqpCcGJmXomuY2lSZh4ACFMiF1cAAAA&hl=fr&mat=CWF8uSQIqkIiElcBEKoLadw3dDXEcC1b0-lZCL0xjUkazkqI-XWyOai-oHIqS1wDl9qyFECHvvnz5nZVHT0YVqljKbRfY0JjCqoN8PcirxyYdCLC2yiYADDQAgYQuec6dnA&authuser=0,1,OK,OK,OK,OK,OK,OK,OK,100%
Columbus Café & Co,Columbus Café & Co Vichy,col0071,,https://www.columbuscafe.com/boutique/vichy-rue-sornin/,OPEN,23 Rue Sornin,,03200,Vichy,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,10:00-19:00,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Vichy&sca_esv=033c270f53017be6&hl=fr&authuser=0&ei=nnfNZqqpGPLAhbIPhNKk0AI&ved=0ahUKEwiq8PLzypSIAxVyYEEAHQQpCSoQ4dUDCA8&uact=5&oq=Columbus+Caf%C3%A9+%26+Co+Vichy&gs_lp=Egxnd3Mtd2l6LXNlcnAiGUNvbHVtYnVzIENhZsOpICYgQ28gVmljaHkyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiiBBiJBTIIEAAYgAQYogQyCBAAGIAEGKIESLgJUJ8FWJ8FcAF4AZABAJgByAOgAcgDqgEDNC0xuAEDyAEA-AEB-AECmAICoALVA6gCCsICGRAuGIAEGNEDGEMYtAIYxwEYigUY6gLYAQHCAhMQABiABBhDGLQCGIoFGOoC2AEBwgIWEC4YgAQYQxjUAhi0AhiKBRjqAtgBAcICFBAAGIAEGOMEGLQCGOkEGOoC2AEBmAMIugYECAEYB5IHBTEuNC0xoAfJBQ&sclient=gws-wiz-serp,1,OK,OK,OK,OK,OK,OK,OK,100%
Columbus Café & Co,Columbus Café & Co Nice Le Ray,col0074,+33493725935,https://www.columbuscafe.com/boutique/nice-galerie-le-ray/,OPEN,52 Boulevard Gorbella,Galerie Nice Le Ray,06000,Nice,"Une faim d’ours ? Bienvenue chez Columbus Café & Co, la plus française des enseignes de coffee-shops ! Notre vocation c’est de vous régaler du ptit déj’ au goûter et tout ça dans la bonne humeur ! Notre spécialité c’est le muffin, il est cuisiné sur place et avec amour par nos baristas ! Bien entendu il n’y a pas que des muffins chez nous, il y a aussi des cookies et autres gâteaux gourmands ainsi qu’un large choix de boissons chaudes et froides préparées sous vos yeux à base de café, thé, chocolat et fruit. Plutôt envie d’une pause salée ? Vous trouverez aussi votre bonheur avec des recettes originales de buddha bowls, clubs toastés, bagels et autres ! Alors passez nous voir et accordez-vous une pause gourmande dans votre journée !",08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-12:30,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Nice+Le+Ray&stick=H4sIAAAAAAAA_-NgU1I1qDA0Sk5JTktKTkozT7RITE2xMqhIMUtMM0s0TzOwNDMzMTA3W8Qq75yfU5qbVFqs4JyYdnilgpqCc76CX2ZyqoJPqkJQYiUAPiCt3EsAAAA&hl=fr&mat=Ca05ZEmzvPXMElYBEKoLaQF_Gh6PVdviAEn9DZnEfDZe3lUEnA7f2isxYVTtRLw1fVj-Jh8REe0f_Nlr7oyEiv65FUFxsLVhknqBCe10Mb1y24HzAV5HhbZPLQUDmZps_w&authuser=0,1,OK,OK,OK,OK,OK,OK,NOK,86%
Columbus Café & Co,Columbus Café & Co,col0076,,,OPEN,66 Place d'Allier,,03000,Moulins,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,09:00-19:00,09:00-14:00,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzM0TDEwME8ysEhJMUqzMqhINjUxNrA0TjRJTUozNzUxW8Qq7JyfU5qbVFqs4JyYdnilgpqCcz4A1dvFjj8AAAA&hl=fr&mat=CdKuvyKCR0U1ElcBEKoLaS5fLuSpkSF16YJnhX6vwqW0Yf6OsO3-rFm-omLCsR1jeGVrOya2eU_-4dv2r8G6y6pTfuNftcNKrywzN3EZ8aFvlKrcZczS7qssN-SXrvSvrnY&authuser=0,1,OK,OK,OK,OK,OK,OK,OK,100%
Columbus Café & Co,Columbus Café & Co,col0080,,https://www.columbuscafe.com/boutique/nice-centre-ville/,OPEN,16 Boulevard Jean Jaurès,,06300,Nice,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,Closed,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDA0Sk5JSUpLTDVKSjFPsrS0MqhITjMwMTZINk41sTQxMLAwXsQq7JyfU5qbVFqs4JyYdnilgpqCcz4A50ty4D8AAAA&hl=fr&mat=CVotdruZLwBBElcBEKoLaeFfOYnK9nURsrs_0r3V3owL-rzXrEit6Nl4i-WwDZZbdurBwM5ee7o-H8mFF7SS2Y7Tj6ESe1AqwethfhVrTZBt9Jj7AMg8dJK6YLz1KZM5Rk8&authuser=0,1,OK,OK,OK,OK,OK,OK,NOK,86%
Columbus Café & Co,Columbus Café & Co Rosny-sous-Bois,col0537,,,OPEN,7 Rue de Lisbonne,Entrée Galerie Leroy Merlin,93110,Rosny-sous-Bois,,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Rosny-sous-Bois&stick=H4sIAAAAAAAA_-NgU1IxqDAxTzUzNE4zTTEwNDBNNk6yMqhINTJOA3ItTFPNUo1TjRaxKjvn55TmJpUWKzgnph1eqaCm4JyvEJRfnFepW5xfWqzrlJ9ZDAD9t8NrTgAAAA&hl=fr&mat=CUv7kYIf-iPqElcBEKoLaRLhYRKJ67w3jN57JksRrs0XId5DSJ_9CUVKeJ1oudkmOGdTqrkWTxpd8-Ih2ZGD849rlOPwrw1AQt2hjubGCQKKF3QxxdZ_ne3cIJ-P1VAdfBg&authuser=0,1,OK,OK,NOK,OK,OK,OK,OK,86%
Columbus Café & Co,Columbus Café & Co,col0539,,https://www.columbuscafe.com/boutique/cambrai-avenue-georges-nuttin/,OPEN,2 Avenue Georges Nuttin,,59400,Cambrai,,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,Closed,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzZKSjJONjZITDM2S7S0MqhITk01MDU0sTCyNEuxME82XsQq7JyfU5qbVFqs4JyYdnilgpqCcz4ADkJlmD8AAAA&hl=fr&mat=CWlWYPomrxNCElYBEKoLaX4QDWhzeEPVOXLnUBYn916v5fu1hcx8Dr3_ghosZ6qxHozPliJUrgG54OYFootlPptBHfGxX3EuUjm0rkYEFbkaNVGRf1P_pAJd1x0grl_Zxg&authuser=0,1,OK,OK,OK,OK,OK,OK,OK,100%
Columbus Café & Co,Columbus Café & Co Olivet,col0540,02 38 47 83 03,,OPEN,181 Rue d'Artois,Centre commercial E.Leclerc,45160,Olivet,,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,Closed,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Olivet&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzVJNU1KNDRKSTMxtjC0MqgwMjRKTTU1TDNPTUmxMDRPWsQq5ZyfU5qbVFqs4JyYdnilgpqCc76Cf05mWWoJABTrqThGAAAA&hl=fr&mat=CY2j55_p3RmLElYBEKoLadP_VPy0HGniAfnVXjhhag5jwlYueIR7nSehMCM5_cq4sGVw3OkbLfF1y8VBQXy4o4KTSrM5ABWSZsmcJrAbCRgW3eBZH51uRgpqCtPxsZ3WfA&authuser=0,1,OK,OK,OK,OK,OK,OK,OK,100%
